Serial no.,Case name,Year,Level,Opposition fail/success,Text and/or graphic,Distinctiveness Index,Distinctiveness,6 Conventions -->,Mark-similarity,Visual-similarity,Aural-similarity,Conceptual-similarity,G&S-similarity,Likelihood of confusion,,,,,,,,,,,,,,,
1,Staywell v Starwood,2013,Sgca,OS,3,,,6_3_9_5_6_7,"38 Based on the foregoing analysis, we find that the marks have a substantial degree of aural similarity and a fair degree of conceptual similarity. The PAR’s finding that the marks were visually dissimilar was not appealed. On the whole, and based on what we have set out above, we have no difficulty finding that the marks were similar. On this basis, we dismiss CA 147/2013.","38 Based on the foregoing analysis, we find that the marks have a substantial degree of aural similarity and a fair degree of conceptual similarity. The PAR’s finding that the marks were visually dissimilar was not appealed. On the whole, and based on what we have set out above, we have no difficulty finding that the marks were similar. On this basis, we dismiss CA 147/2013.",33 We therefore see no reason to disturb the Judge’s finding that the marks had aural similarity. In fact we find that there is a high degree of aural similarity between the competing marks because of the distinctiveness of the common “Regis” component in both the technical and non-technical senses.,"37 However, we find that there is some conceptual similarity between the marks but for a different reason. There is some strength in the Opponents’ argument that both the Applicant and Opponent Marks evoke the idea of a place or location. Although the ST. REGIS mark might conjure the image of a saintly person, in Singapore by far the most common manifestation of saintly names is in relation to places ranging from schools (St Joseph’s Institution, St Margaret’s School), roads (St George’s Road, St Martins Lane), hospitals (St Luke’s Hospital) and condominiums (St Nicholas View, St Patrick’s Court), to an assortment of other public places (St Michael’s flatted factory, St James Power Station (bar), Le Saint Julien (restaurant)), many of which have no particular association whatsoever with the saintly character whose name they have adopted. Similarly, the word “Park”, as noted by the Judge, connotes the idea of a geographical location though not necessarily of any particular type (see [26] of the GD). Therefore, in the Singapore context, the marks share a tendency to connote a place or location or building which, as between the competing marks in question, are linked by the common reference to “Regis”.","43 In relation to its Class 35 registration, the Judge accepted the PAR’s finding that Staywell’s advertising, marketing and business management services were adjunct to and inseparable from its primary services under Class 43, and therefore similar to the Opponent’s Class 43 services (GD ([8] supra) at [32]–[33]). We agree with the Judge’s reasoning to the extent that Staywell’s Class 35 services are closely related and indeed inseparable from its Class 43 hotel and restaurant services. This is not to say that Staywell’s application for registration under the two classes was to be considered and compared collectively as against the Opponents’ Class 43 services. Rather, the real question is whether Staywell’s services that were sought to be registered under Class 35 are similar to the Opponents’ services under Class 43, having regard to all relevant factors relating to the services themselves. Some of the factors set out in British Sugar plc v James Robertson & Sons Ltd [1996] RPC 281 (“British Sugar”) at 296 would be relevant at the goods-similarity stage of the inquiry, in particular the consideration of the uses and the end-users of the services. The question is how the services are regarded, as a practical matter, for the purposes of trade. Applying this approach, we agree with the PAR’s findings at [63] of the PAR’s GD. There is an overlap between the uses and users of Staywell’s Class 35 business management and administration services, and its Class 43 service of providing hotel venues for business conferences and receptions. As for the advertising and marketing services under Class 35, these relate to the promotion of the hotel and restaurant services under Class 43. Therefore we agree that there is similarity between Staywell’s services in Class 35 and the Opponents’ services in Class 43.","117 Notwithstanding our rejection of the doctrine of initial interest confusion, we reverse the Judge’s dismissal of the opposition under s 8(2)(b) of the Act. We affirm her finding that the marks were, on the whole, similar, and that the services were in essence identical; but we disagree that this similarity did not give rise to a likelihood of confusion at the point of sale of the parties’ respective services. On the contrary, we are satisfied in the circumstances that there was a sufficient likelihood of confusion by reason of the similarity in the competing marks and the services. In our judgment, because of this similarity, the average customer would have likely been confused as to whether the owners of the competing marks were economically linked and it was therefore an impermissible infraction of the Opponents’ rights to permit the registration to proceed.",,,,,,,,,,,,,,,
2*F,Caesarstone v ceramiche,2016,Sghc,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
3,Monster v Glamco (faulty),2018,Sghc,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
4,Han's v Gusttimo,2015,Sghc,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
5,Rovio v Kimanis,2015,Sghc,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
6*S,Ceramiche v Caesarstone,2017,Sgca,OS,3,5,"30 The Appellant does not challenge the Judge’s findings on distinctiveness, but submits that the Appellant’s CAESAR Mark “enjoys a higher threshold before the [Respondent’s] CAESARSTONE Mark will be considered dissimilar to it”. In our judgment, this is incorrect. What we held in Staywell (at [25]) was that a mark which has greater technical distinctiveness enjoys a high threshold before a competing sign will be considered dissimilar to it. The PAR concluded on this basis that “a mark which has a normal level of technical distinctiveness will correspondingly enjoy only a normal threshold before a competing sign will be considered dissimilar to it” [emphasis in original]. Thus, when the PAR (and the Judge) held that the Appellant’s CAESAR Mark had a medium level of distinctiveness, what she (and the Judge) probably meant was that the Appellant’s CAESAR Mark was of a normal level of distinctiveness and therefore enjoyed only a normal threshold before the Respondent’s CAESARTSTONE Mark would be considered dissimilar to it.",6_7_8_7_7_7,"55 To summarise our findings on the similarity of marks, there is, in our judgment, as between the Appellant’s CAESAR Mark and the Respondent’s CAESARSTONE Mark, a moderate level of visual similarity (see [44] above) and a high level of aural similarity (see [47] above). As far as conceptual similarity is concerned, this is either neutral or there would be a high level of conceptual similarity; but as we see it, there is no basis for finding any conceptual dissimilarity (see [52]–[53] above). On the whole, we find that the marks are similar rather than dissimilar.","44 We appreciate that there are several other stylistic differences between the two marks. These include differences in (a) the font; (b) the letter case; (c) the overall length of the textual components; and (d) the arrangement of the letters, in particular, the ligating of the “a” and the “e” in the Appellant’s CAESAR Mark. However, as we have observed earlier (see [27] above), the fact that the average consumer is treated as having “imperfect recollection” means that the two contesting marks are not to be compared or assessed side by side and examined in detail for the sake of isolating particular points of difference (Hai Tong ([27] supra) at [40(d)]). Hence, while these differences may be evident (and even obvious) on a side-by-side comparison, this is not how visual similarity is to be assessed. In our judgment, these stylistic differences do not substantially detract from the fact that the overall impression conveyed by both marks is dominated by the word “caesar”. In all the circumstances and having regard also to these stylistic differences, we consider that the marks are of a moderate level of visual similarity.","47 Under the first approach, we consider that, for the purposes of the aural analysis, the dominant component of the Respondent’s CAESARSTONE Mark is again the word “caesar”. The device is obviously irrelevant in the aural analysis, while what we have said in relation to the word “stone” in the context of the visual analysis (see [41]–[42] above) applies with equal force in this context. The dominant component of the Appellant’s CAESAR Mark, which, without doubt, is the word “caesar”, is identical. As for the second approach, the two marks clearly have more syllables in common than not. In these premises, it is our view that the two marks have a high level of aural similarity.","55 To summarise our findings on the similarity of marks, there is, in our judgment, as between the Appellant’s CAESAR Mark and the Respondent’s CAESARSTONE Mark, a moderate level of visual similarity (see [44] above) and a high level of aural similarity (see [47] above). As far as conceptual similarity is concerned, this is either neutral or there would be a high level of conceptual similarity; but as we see it, there is no basis for finding any conceptual dissimilarity (see [52]–[53] above). On the whole, we find that the marks are similar rather than dissimilar.","91 As mentioned earlier (see [26] above), it is not disputed that the element of similarity of goods is satisfied in the present case.","92     To summarise our findings on the likelihood of confusion, we consider that (a) the nature of the goods, on the whole, points towards a likelihood of confusion (see [79] and [82] above); (b) the mode of purchase is, at best, a neutral factor (see [87] above); and (c) the similarity of marks points towards a likelihood of confusion (see [89] above), as does the similarity of goods (see [91] above). On the whole, we think that there exists a likelihood of confusion on the part of the public.",,,,,,,,,,,,,,,
7,United U-Li v Tan Buck Hai,2018,sgipos,OS,1,X,X,10_10_10_10_8_9,"36 Having considered the arguments and positions for this ground of invalidation, it is found that the Subject Mark is identical to the earlier trade mark registered by the Applicants covering highly similar goods, resulting in a strong likelihood of confusion. The ground of invalidation under Section 8(2)(a) therefore succeeds.","27 Applying the test to the present facts, the analysis is a fairly straightforward one. The Subject Markappears to be identical to one of the Applicants’ earlier series mark. Both comprise the combination of letters “U-LI” using the same, or almost the same, font type and arranged in the same order. Although the Subject Mark is a single mark while the Applicants’ mark is protected as a unitary series of two marks, there is no significant differentiation as visually, the Subject Mark appears to be virtually identical to the black and white portion of the earlier series marks. The additional colour in one of the earlier series mark, being a non-distinctive feature of the mark, also does not substantially affect the identity of the marks.","28 In the submissions, counsel for Respondent somewhat flipped-flopped on this issue, sometimes arguing that the two marks are similar but not identical, while at other occasions, accusing the Applicants of effectively using an “identical” U-LI mark as the Respondent’s to market U-LI products. Ultimately, however, the position is clear that the two marks are undeniably identical: whether visually, aurally, or conceptually.","28 In the submissions, counsel for Respondent somewhat flipped-flopped on this issue, sometimes arguing that the two marks are similar but not identical, while at other occasions, accusing the Applicants of effectively using an “identical” U-LI mark as the Respondent’s to market U-LI products. Ultimately, however, the position is clear that the two marks are undeniably identical: whether visually, aurally, or conceptually.","36 Having considered the arguments and positions for this ground of invalidation, it is found that the Subject Mark is identical to the earlier trade mark registered by the Applicants covering highly similar goods, resulting in a strong likelihood of confusion. The ground of invalidation under Section 8(2)(a) therefore succeeds.","35 There was no evidence of any significant difference in the mode of purchase and the Applicants’ Ng having previously worked in U-LI Marketing, could be expected to take the same approach in dealing with the customers. Indeed, the likelihood of confusion is already clearly demonstrated in the evidence tendered by the Applicants where customers had wrongly indicated in their purchase orders the name “United U-LI Marketing Pte Ltd”, when it should have been “United U-LI Projects Pte Ltd” (see NCH-1, paragraph 40, pages 284-285).",,,,,,,,,,,,,,,
8,Monster v Glamco,2018,Sghc,OF,3,5,"52 Having determined that the Appellant’s Earlier Monster Marks do not possess a high level of technical distinctiveness, there is accordingly no need for a higher threshold to be crossed before the Application Markwill be considered dissimilar to it. I now turn to consider the similarity of the marks.",3_3_6_3_3_X,"66 To summarise my findings, the Application Mark and the Appellant’s Earlier Monster Marks are visually and conceptually dissimilar but are aurally more similar than dissimilar. On the whole, I find that the marksare on balance more dissimilar than similar.","60 For the foregoing reasons, I find that the Application Mark is visually dissimilar to the Appellant’s Earlier Monster Marks.","62 I agree with the PAR’s analysis that when applying the quantitative assessment approach, the markshave more syllables in common than not since two out of the three syllables in the Application Mark are identical to that of the Appellant’s Earlier Monster Marks (GD at [80]). I would add that the sequence of the syllables is also relevant in determining whether the marks are aurally similar. Consider the hypothetical situation where a mark that is pronounced “ster-sweet-mon” is compared to a mark that is pronounced “mon-ster”. In such a case, even though two out of three syllables may also be similar, one would be less inclined to find that the marks are aurally similar. However, in the present case, such an issue does not arise given that the syllables which are similar (ie, “mon” and “ster”) also appear in the same sequence. Therefore, I find that the marks are aurally more similar than dissimilar.","64 I am of the view that the Application Mark and the Appellant’s Earlier Monster Marks are conceptually dissimilar, because the idea and impression that each mark conveys is very different. I agree with both the PAR and the Respondent that the analysis adopted by the Registrar in Itochu ([37] supra) is applicable to the present case. Itochu involved a comparison of the word marks “CAMEL” and “SWEETCAMEL”. The Registrar found that the “CAMEL” mark evokes a sense of ruggedness, adventure and masculinity. This is unsurprising given that a camel is usually seen as a beast of burden that has to traverse long distances across parched desert conditions. However, the Registrar found that because of the addition of the adjective “sweet”, the “SWEETCAMEL” mark projects the totally opposite impression (at [37]).","75 Therefore, although this would strictly have no bearing on my decision, I am of the view that the Appellant’s and the Respondent’s respective registered goods are dissimilar. Accordingly, the Appellant’s opposition under s 8(2)(b) of the TMA cannot succeed.","77 Given my finding at [66] above that the competing marks are dissimilar, there is strictly no need for me to consider whether there is a likelihood of confusion. Accordingly, there is no need for me to consider whether the Appellant has a family of marks. Be that as it may, I will, for completeness, make some brief observations on this issue.",,,,,,,,,,,,,,,
9,Daidoh v New Yorker,2018,Sgipos,OS,1,X,X,10_10_10_10_7_8,"29 If anything, the font and stylisation differences in this case play an even less significant role than in QUARTZ. Moreover, as the Opponent rightly pointed out, the overall impression of visual identity between the two marks is reinforced by two factors. First, both marks contain a protruding/prominent letter “Y”. And second, both marks appear in upper-case block letters. For these reasons, I consider the marks to be visually identical. And, since the Applicant does not dispute the fact that the marks are aurally and conceptually identical, I have no trouble finding that the marks are identical on the whole.","29 If anything, the font and stylisation differences in this case play an even less significant role than in QUARTZ. Moreover, as the Opponent rightly pointed out, the overall impression of visual identity between the two marks is reinforced by two factors. First, both marks contain a protruding/prominent letter “Y”. And second, both marks appear in upper-case block letters. For these reasons, I consider the marks to be visually identical. And, since the Applicant does not dispute the fact that the marks are aurally and conceptually identical, I have no trouble finding that the marks are identical on the whole.",22 It is common ground between the parties that the marks are aurally identical. (There can only be identity of trade marks if there is both aural and visual identity: Mitac at [95] citing Reed Executive plc v Reed Business Information Ltd [2004] RPC 40.) The Applicant also conceded that the marks are conceptually identical.,22 It is common ground between the parties that the marks are aurally identical. (There can only be identity of trade marks if there is both aural and visual identity: Mitac at [95] citing Reed Executive plc v Reed Business Information Ltd [2004] RPC 40.) The Applicant also conceded that the marks are conceptually identical.,"38 I do not propose to deal with all of the submissions advanced on both sides. It is preferable to focus instead on the category of services in italics in the table at [35] above. [note: 13] There can be no doubt, to my mind, that the italicised services are similar to at least some of the goods covered under the Prior Mark. Take for example the good “Clothing” and the service “retail services with regard to clothing”. Or “boots; shoes; sandals” on the one hand and “retail services with regard to” “footwear” on the other. The common thread between these two instances is that one is the good itself whereas the other is the service of providing the specific good. This is the very situation envisaged by the authorities where goods and services can be considered to be similar for the purposes of the provision: see [32] – [33] above). (These examples are by no means exhaustive, and many other points of similarity between the italicised services and the relevant goods can be identified though this same lens.)","51 In my judgment, the Opponent is obviously right that if the Application Mark were allowed to proceed to registration, a substantial portion of the relevant public would likely be confused on account of the fact that the marks are identical and the similarity between the respective goods and services. I fail to see how it could be otherwise. There might be no evidence of actual confusion, but that is only to be expected since the Applicant has no “NEWYORKER” stores in this country.",,,,,,,,,,,,,,,
10,Singtel v Megaport,2018,Sgipos,OF,1,5,"23 Further, I am also of the view that the Opponent’s Earlier Meg@POP Mark sits in the middle of the technical distinctiveness spectrum.",3_3_6_3_10_0,"74 I have concluded that the Opponent’s Earlier Meg@POP Mark in comparison to the Application Markis visually and conceptually more dissimilar than similar while there is some aural similarity. Overall, I am of the view that the marks are more dissimilar than similar.","40 In light of all of the above, the Opponent’s Earlier Meg@POP Mark is clearly visually different from the Application Mark. The immediate and direct visual impact foisted by the Opponent’s Earlier Meg@POP Mark on the eye is in contrast to the Application Mark, which is a plain word mark sans any form of ornamentation.

41 Having regard to the above, I am of the view that the marks are visually more dissimilar than similar.
","56 In light of the above, the marks are aurally more similar than dissimilar.","72 Having regard to all the different connotations which may be conjured up by the marks, I am of the view that the marks are conceptually more dissimilar than similar. It is to be recalled that, the conclusion which is required to be drawn at the end of the day is whether the marks are more dissimilar than similar.[note: 32]","77 The Court of Appeal in Staywell provided at [40] “that registration in the same specification within a class establishes a prima facie case for identity”. The identical service is highlighted above (italicised and in bold), namely, “telecommunication services”. As this element has been satisfied, there is no need to consider T0312221G (registered for Class 42).","99 Therefore, while I agree with the Opponent that it is not sufficient to simply argue on the basis that the Opponent’s clients (as reflected by the Opponent’s evidence) were / are corporations seeking to purchase expensive and technical products thus diminishing the likelihood of confusion, having regard to the nature of “telecommunication services”, there is nonetheless no likelihood of confusion even though the potential consumer includes the “man on the street”.",,,,,,,,,,,,,,,
