Serial no.	Case name	Year	Level	Opposition fail/success	Text and/or graphic	Convention	Distinctiveness	Mark-similarity	Visual-similarity	Aural-similarity	Conceptual-similarity	G&S-similarity	Likelihood of confusion															
1	Staywell v Starwood	2013	Sgca	OS	3	6_3_9_5_6_7		"38 Based on the foregoing analysis, we find that the marks have a substantial degree of aural similarity and a fair degree of conceptual similarity. The PAR’s finding that the marks were visually dissimilar was not appealed. On the whole, and based on what we have set out above, we have no difficulty finding that the marks were similar. On this basis, we dismiss CA 147/2013."	"38 Based on the foregoing analysis, we find that the marks have a substantial degree of aural similarity and a fair degree of conceptual similarity. The PAR’s finding that the marks were visually dissimilar was not appealed. On the whole, and based on what we have set out above, we have no difficulty finding that the marks were similar. On this basis, we dismiss CA 147/2013."	33 We therefore see no reason to disturb the Judge’s finding that the marks had aural similarity. In fact we find that there is a high degree of aural similarity between the competing marks because of the distinctiveness of the common “Regis” component in both the technical and non-technical senses.	"37 However, we find that there is some conceptual similarity between the marks but for a different reason. There is some strength in the Opponents’ argument that both the Applicant and Opponent Marks evoke the idea of a place or location. Although the ST. REGIS mark might conjure the image of a saintly person, in Singapore by far the most common manifestation of saintly names is in relation to places ranging from schools (St Joseph’s Institution, St Margaret’s School), roads (St George’s Road, St Martins Lane), hospitals (St Luke’s Hospital) and condominiums (St Nicholas View, St Patrick’s Court), to an assortment of other public places (St Michael’s flatted factory, St James Power Station (bar), Le Saint Julien (restaurant)), many of which have no particular association whatsoever with the saintly character whose name they have adopted. Similarly, the word “Park”, as noted by the Judge, connotes the idea of a geographical location though not necessarily of any particular type (see [26] of the GD). Therefore, in the Singapore context, the marks share a tendency to connote a place or location or building which, as between the competing marks in question, are linked by the common reference to “Regis”."	"43 In relation to its Class 35 registration, the Judge accepted the PAR’s finding that Staywell’s advertising, marketing and business management services were adjunct to and inseparable from its primary services under Class 43, and therefore similar to the Opponent’s Class 43 services (GD ([8] supra) at [32]–[33]). We agree with the Judge’s reasoning to the extent that Staywell’s Class 35 services are closely related and indeed inseparable from its Class 43 hotel and restaurant services. This is not to say that Staywell’s application for registration under the two classes was to be considered and compared collectively as against the Opponents’ Class 43 services. Rather, the real question is whether Staywell’s services that were sought to be registered under Class 35 are similar to the Opponents’ services under Class 43, having regard to all relevant factors relating to the services themselves. Some of the factors set out in British Sugar plc v James Robertson & Sons Ltd [1996] RPC 281 (“British Sugar”) at 296 would be relevant at the goods-similarity stage of the inquiry, in particular the consideration of the uses and the end-users of the services. The question is how the services are regarded, as a practical matter, for the purposes of trade. Applying this approach, we agree with the PAR’s findings at [63] of the PAR’s GD. There is an overlap between the uses and users of Staywell’s Class 35 business management and administration services, and its Class 43 service of providing hotel venues for business conferences and receptions. As for the advertising and marketing services under Class 35, these relate to the promotion of the hotel and restaurant services under Class 43. Therefore we agree that there is similarity between Staywell’s services in Class 35 and the Opponents’ services in Class 43."	"117 Notwithstanding our rejection of the doctrine of initial interest confusion, we reverse the Judge’s dismissal of the opposition under s 8(2)(b) of the Act. We affirm her finding that the marks were, on the whole, similar, and that the services were in essence identical; but we disagree that this similarity did not give rise to a likelihood of confusion at the point of sale of the parties’ respective services. On the contrary, we are satisfied in the circumstances that there was a sufficient likelihood of confusion by reason of the similarity in the competing marks and the services. In our judgment, because of this similarity, the average customer would have likely been confused as to whether the owners of the competing marks were economically linked and it was therefore an impermissible infraction of the Opponents’ rights to permit the registration to proceed."															
2*F	Caesarstone v ceramiche	2016	Sghc	OF	3																							
3	Monster v Glamco (faulty)	2018	Sghc	OF	3																							
4	Han's v Gusttimo	2015	Sghc	OF	3																							
5	Rovio v Kimanis	2015	Sghc	OF	3																							
6*S	Ceramiche v Caesarstone	2017	Sgca	OS	3	6_7_8_7_7_7																						
7	United U-Li v Tan Buck Hai	2018	sgipos	OS	1	10_10_10_10_8_9																						
8	Monster v Glamco	2018	Sghc	OF	3	3_3_6_3_3_3																						
9	Daidoh v New Yorker	2018	Sgipos	OS	1	10_10_10_10_7_8																						
10	Singtel v Megaport	2018	Sgipos	OF	1	3_3_6_3_10_0																						
11	Monster v NBA	2018	Sgipos	OF	3	3_3_0_3_X_X																						
12	Apple v Swatch	2018	Sgipos	OF	1	3_3_4_2_X_3																						
13	Adidas v Lutong (faulty)	2018	Sgipos	OF	2																							
14	Starwood v Staywell (conceptually more similar than dissimilar to a fair extent)	2018	Sgipos	OS	3	6_6_6_7_10_7																						
15	Monster v Tencent	2018	Sgipos	OF	3	3_3_3_3_0_X																						
16	Fox Head v Fox Street	2018	Sgipos	OS	3	7_7_10_10_9_7																						
17	Adidas v Lutong	2018	Sgipos	OF	2																							
18	Bridgestone v Deestone	2018	Sgipos	OF	2	3_3_3_1_X_X																						
19	Beats v LG	2016	Sgipos	OF	1	3_3_3_3_X_X																						
20	Monster v Mixi	2017	Sgipos	OF	3	3_3_3_3_2_1																						
21	Polo/lauren v United Stated Polo	2015	Sgipos	OF	3	5_5_0_10_10_0																						
22	Sports Connection v PT Eigerindo	2015	Sgipos	OS	1	6_7_8_7_5_6																						
