1,Staywell v Starwood,2013,Sgca,OS,3,,,6_3_9_5_6_7,"38 Based on the foregoing analysis, we find that the marks have a substantial degree of aural similarity and a fair degree of conceptual similarity. The PAR’s finding that the marks were visually dissimilar was not appealed. On the whole, and based on what we have set out above, we have no difficulty finding that the marks were similar. On this basis, we dismiss CA 147/2013.","38 Based on the foregoing analysis, we find that the marks have a substantial degree of aural similarity and a fair degree of conceptual similarity. The PAR’s finding that the marks were visually dissimilar was not appealed. On the whole, and based on what we have set out above, we have no difficulty finding that the marks were similar. On this basis, we dismiss CA 147/2013.",33 We therefore see no reason to disturb the Judge’s finding that the marks had aural similarity. In fact we find that there is a high degree of aural similarity between the competing marks because of the distinctiveness of the common “Regis” component in both the technical and non-technical senses.,"37 However, we find that there is some conceptual similarity between the marks but for a different reason. There is some strength in the Opponents’ argument that both the Applicant and Opponent Marks evoke the idea of a place or location. Although the ST. REGIS mark might conjure the image of a saintly person, in Singapore by far the most common manifestation of saintly names is in relation to places ranging from schools (St Joseph’s Institution, St Margaret’s School), roads (St George’s Road, St Martins Lane), hospitals (St Luke’s Hospital) and condominiums (St Nicholas View, St Patrick’s Court), to an assortment of other public places (St Michael’s flatted factory, St James Power Station (bar), Le Saint Julien (restaurant)), many of which have no particular association whatsoever with the saintly character whose name they have adopted. Similarly, the word “Park”, as noted by the Judge, connotes the idea of a geographical location though not necessarily of any particular type (see [26] of the GD). Therefore, in the Singapore context, the marks share a tendency to connote a place or location or building which, as between the competing marks in question, are linked by the common reference to “Regis”.","43 In relation to its Class 35 registration, the Judge accepted the PAR’s finding that Staywell’s advertising, marketing and business management services were adjunct to and inseparable from its primary services under Class 43, and therefore similar to the Opponent’s Class 43 services (GD ([8] supra) at [32]–[33]). We agree with the Judge’s reasoning to the extent that Staywell’s Class 35 services are closely related and indeed inseparable from its Class 43 hotel and restaurant services. This is not to say that Staywell’s application for registration under the two classes was to be considered and compared collectively as against the Opponents’ Class 43 services. Rather, the real question is whether Staywell’s services that were sought to be registered under Class 35 are similar to the Opponents’ services under Class 43, having regard to all relevant factors relating to the services themselves. Some of the factors set out in British Sugar plc v James Robertson & Sons Ltd [1996] RPC 281 (“British Sugar”) at 296 would be relevant at the goods-similarity stage of the inquiry, in particular the consideration of the uses and the end-users of the services. The question is how the services are regarded, as a practical matter, for the purposes of trade. Applying this approach, we agree with the PAR’s findings at [63] of the PAR’s GD. There is an overlap between the uses and users of Staywell’s Class 35 business management and administration services, and its Class 43 service of providing hotel venues for business conferences and receptions. As for the advertising and marketing services under Class 35, these relate to the promotion of the hotel and restaurant services under Class 43. Therefore we agree that there is similarity between Staywell’s services in Class 35 and the Opponents’ services in Class 43.","117 Notwithstanding our rejection of the doctrine of initial interest confusion, we reverse the Judge’s dismissal of the opposition under s 8(2)(b) of the Act. We affirm her finding that the marks were, on the whole, similar, and that the services were in essence identical; but we disagree that this similarity did not give rise to a likelihood of confusion at the point of sale of the parties’ respective services. On the contrary, we are satisfied in the circumstances that there was a sufficient likelihood of confusion by reason of the similarity in the competing marks and the services. In our judgment, because of this similarity, the average customer would have likely been confused as to whether the owners of the competing marks were economically linked and it was therefore an impermissible infraction of the Opponents’ rights to permit the registration to proceed."
6*S,Ceramiche v Caesarstone,2017,Sgca,OS,3,5,"30 The Appellant does not challenge the Judge’s findings on distinctiveness, but submits that the Appellant’s CAESAR Mark “enjoys a higher threshold before the [Respondent’s] CAESARSTONE Mark will be considered dissimilar to it”. In our judgment, this is incorrect. What we held in Staywell (at [25]) was that a mark which has greater technical distinctiveness enjoys a high threshold before a competing sign will be considered dissimilar to it. The PAR concluded on this basis that “a mark which has a normal level of technical distinctiveness will correspondingly enjoy only a normal threshold before a competing sign will be considered dissimilar to it” [emphasis in original]. Thus, when the PAR (and the Judge) held that the Appellant’s CAESAR Mark had a medium level of distinctiveness, what she (and the Judge) probably meant was that the Appellant’s CAESAR Mark was of a normal level of distinctiveness and therefore enjoyed only a normal threshold before the Respondent’s CAESARTSTONE Mark would be considered dissimilar to it.",6_7_8_7_7_7,"55 To summarise our findings on the similarity of marks, there is, in our judgment, as between the Appellant’s CAESAR Mark and the Respondent’s CAESARSTONE Mark, a moderate level of visual similarity (see [44] above) and a high level of aural similarity (see [47] above). As far as conceptual similarity is concerned, this is either neutral or there would be a high level of conceptual similarity; but as we see it, there is no basis for finding any conceptual dissimilarity (see [52]–[53] above). On the whole, we find that the marks are similar rather than dissimilar.","44 We appreciate that there are several other stylistic differences between the two marks. These include differences in (a) the font; (b) the letter case; (c) the overall length of the textual components; and (d) the arrangement of the letters, in particular, the ligating of the “a” and the “e” in the Appellant’s CAESAR Mark. However, as we have observed earlier (see [27] above), the fact that the average consumer is treated as having “imperfect recollection” means that the two contesting marks are not to be compared or assessed side by side and examined in detail for the sake of isolating particular points of difference (Hai Tong ([27] supra) at [40(d)]). Hence, while these differences may be evident (and even obvious) on a side-by-side comparison, this is not how visual similarity is to be assessed. In our judgment, these stylistic differences do not substantially detract from the fact that the overall impression conveyed by both marks is dominated by the word “caesar”. In all the circumstances and having regard also to these stylistic differences, we consider that the marks are of a moderate level of visual similarity.","47 Under the first approach, we consider that, for the purposes of the aural analysis, the dominant component of the Respondent’s CAESARSTONE Mark is again the word “caesar”. The device is obviously irrelevant in the aural analysis, while what we have said in relation to the word “stone” in the context of the visual analysis (see [41]–[42] above) applies with equal force in this context. The dominant component of the Appellant’s CAESAR Mark, which, without doubt, is the word “caesar”, is identical. As for the second approach, the two marks clearly have more syllables in common than not. In these premises, it is our view that the two marks have a high level of aural similarity.","55 To summarise our findings on the similarity of marks, there is, in our judgment, as between the Appellant’s CAESAR Mark and the Respondent’s CAESARSTONE Mark, a moderate level of visual similarity (see [44] above) and a high level of aural similarity (see [47] above). As far as conceptual similarity is concerned, this is either neutral or there would be a high level of conceptual similarity; but as we see it, there is no basis for finding any conceptual dissimilarity (see [52]–[53] above). On the whole, we find that the marks are similar rather than dissimilar.","91 As mentioned earlier (see [26] above), it is not disputed that the element of similarity of goods is satisfied in the present case.","92     To summarise our findings on the likelihood of confusion, we consider that (a) the nature of the goods, on the whole, points towards a likelihood of confusion (see [79] and [82] above); (b) the mode of purchase is, at best, a neutral factor (see [87] above); and (c) the similarity of marks points towards a likelihood of confusion (see [89] above), as does the similarity of goods (see [91] above). On the whole, we think that there exists a likelihood of confusion on the part of the public."
7,United U-Li v Tan Buck Hai,2018,sgipos,OS,1,X,X,10_10_10_10_8_9,"36 Having considered the arguments and positions for this ground of invalidation, it is found that the Subject Mark is identical to the earlier trade mark registered by the Applicants covering highly similar goods, resulting in a strong likelihood of confusion. The ground of invalidation under Section 8(2)(a) therefore succeeds.","27 Applying the test to the present facts, the analysis is a fairly straightforward one. The Subject Markappears to be identical to one of the Applicants’ earlier series mark. Both comprise the combination of letters “U-LI” using the same, or almost the same, font type and arranged in the same order. Although the Subject Mark is a single mark while the Applicants’ mark is protected as a unitary series of two marks, there is no significant differentiation as visually, the Subject Mark appears to be virtually identical to the black and white portion of the earlier series marks. The additional colour in one of the earlier series mark, being a non-distinctive feature of the mark, also does not substantially affect the identity of the marks.","28 In the submissions, counsel for Respondent somewhat flipped-flopped on this issue, sometimes arguing that the two marks are similar but not identical, while at other occasions, accusing the Applicants of effectively using an “identical” U-LI mark as the Respondent’s to market U-LI products. Ultimately, however, the position is clear that the two marks are undeniably identical: whether visually, aurally, or conceptually.","28 In the submissions, counsel for Respondent somewhat flipped-flopped on this issue, sometimes arguing that the two marks are similar but not identical, while at other occasions, accusing the Applicants of effectively using an “identical” U-LI mark as the Respondent’s to market U-LI products. Ultimately, however, the position is clear that the two marks are undeniably identical: whether visually, aurally, or conceptually.","36 Having considered the arguments and positions for this ground of invalidation, it is found that the Subject Mark is identical to the earlier trade mark registered by the Applicants covering highly similar goods, resulting in a strong likelihood of confusion. The ground of invalidation under Section 8(2)(a) therefore succeeds.","35 There was no evidence of any significant difference in the mode of purchase and the Applicants’ Ng having previously worked in U-LI Marketing, could be expected to take the same approach in dealing with the customers. Indeed, the likelihood of confusion is already clearly demonstrated in the evidence tendered by the Applicants where customers had wrongly indicated in their purchase orders the name “United U-LI Marketing Pte Ltd”, when it should have been “United U-LI Projects Pte Ltd” (see NCH-1, paragraph 40, pages 284-285)."
8,Monster v Glamco,2018,Sghc,OF,3,5,"52 Having determined that the Appellant’s Earlier Monster Marks do not possess a high level of technical distinctiveness, there is accordingly no need for a higher threshold to be crossed before the Application Markwill be considered dissimilar to it. I now turn to consider the similarity of the marks.",3_3_6_3_3_X,"66 To summarise my findings, the Application Mark and the Appellant’s Earlier Monster Marks are visually and conceptually dissimilar but are aurally more similar than dissimilar. On the whole, I find that the marksare on balance more dissimilar than similar.","60 For the foregoing reasons, I find that the Application Mark is visually dissimilar to the Appellant’s Earlier Monster Marks.","62 I agree with the PAR’s analysis that when applying the quantitative assessment approach, the markshave more syllables in common than not since two out of the three syllables in the Application Mark are identical to that of the Appellant’s Earlier Monster Marks (GD at [80]). I would add that the sequence of the syllables is also relevant in determining whether the marks are aurally similar. Consider the hypothetical situation where a mark that is pronounced “ster-sweet-mon” is compared to a mark that is pronounced “mon-ster”. In such a case, even though two out of three syllables may also be similar, one would be less inclined to find that the marks are aurally similar. However, in the present case, such an issue does not arise given that the syllables which are similar (ie, “mon” and “ster”) also appear in the same sequence. Therefore, I find that the marks are aurally more similar than dissimilar.","64 I am of the view that the Application Mark and the Appellant’s Earlier Monster Marks are conceptually dissimilar, because the idea and impression that each mark conveys is very different. I agree with both the PAR and the Respondent that the analysis adopted by the Registrar in Itochu ([37] supra) is applicable to the present case. Itochu involved a comparison of the word marks “CAMEL” and “SWEETCAMEL”. The Registrar found that the “CAMEL” mark evokes a sense of ruggedness, adventure and masculinity. This is unsurprising given that a camel is usually seen as a beast of burden that has to traverse long distances across parched desert conditions. However, the Registrar found that because of the addition of the adjective “sweet”, the “SWEETCAMEL” mark projects the totally opposite impression (at [37]).","75 Therefore, although this would strictly have no bearing on my decision, I am of the view that the Appellant’s and the Respondent’s respective registered goods are dissimilar. Accordingly, the Appellant’s opposition under s 8(2)(b) of the TMA cannot succeed.","77 Given my finding at [66] above that the competing marks are dissimilar, there is strictly no need for me to consider whether there is a likelihood of confusion. Accordingly, there is no need for me to consider whether the Appellant has a family of marks. Be that as it may, I will, for completeness, make some brief observations on this issue."
9,Daidoh v New Yorker,2018,Sgipos,OS,1,X,X,10_10_10_10_7_8,"29 If anything, the font and stylisation differences in this case play an even less significant role than in QUARTZ. Moreover, as the Opponent rightly pointed out, the overall impression of visual identity between the two marks is reinforced by two factors. First, both marks contain a protruding/prominent letter “Y”. And second, both marks appear in upper-case block letters. For these reasons, I consider the marks to be visually identical. And, since the Applicant does not dispute the fact that the marks are aurally and conceptually identical, I have no trouble finding that the marks are identical on the whole.","29 If anything, the font and stylisation differences in this case play an even less significant role than in QUARTZ. Moreover, as the Opponent rightly pointed out, the overall impression of visual identity between the two marks is reinforced by two factors. First, both marks contain a protruding/prominent letter “Y”. And second, both marks appear in upper-case block letters. For these reasons, I consider the marks to be visually identical. And, since the Applicant does not dispute the fact that the marks are aurally and conceptually identical, I have no trouble finding that the marks are identical on the whole.",22 It is common ground between the parties that the marks are aurally identical. (There can only be identity of trade marks if there is both aural and visual identity: Mitac at [95] citing Reed Executive plc v Reed Business Information Ltd [2004] RPC 40.) The Applicant also conceded that the marks are conceptually identical.,22 It is common ground between the parties that the marks are aurally identical. (There can only be identity of trade marks if there is both aural and visual identity: Mitac at [95] citing Reed Executive plc v Reed Business Information Ltd [2004] RPC 40.) The Applicant also conceded that the marks are conceptually identical.,"38 I do not propose to deal with all of the submissions advanced on both sides. It is preferable to focus instead on the category of services in italics in the table at [35] above. [note: 13] There can be no doubt, to my mind, that the italicised services are similar to at least some of the goods covered under the Prior Mark. Take for example the good “Clothing” and the service “retail services with regard to clothing”. Or “boots; shoes; sandals” on the one hand and “retail services with regard to” “footwear” on the other. The common thread between these two instances is that one is the good itself whereas the other is the service of providing the specific good. This is the very situation envisaged by the authorities where goods and services can be considered to be similar for the purposes of the provision: see [32] – [33] above). (These examples are by no means exhaustive, and many other points of similarity between the italicised services and the relevant goods can be identified though this same lens.)","51 In my judgment, the Opponent is obviously right that if the Application Mark were allowed to proceed to registration, a substantial portion of the relevant public would likely be confused on account of the fact that the marks are identical and the similarity between the respective goods and services. I fail to see how it could be otherwise. There might be no evidence of actual confusion, but that is only to be expected since the Applicant has no “NEWYORKER” stores in this country."
10,Singtel v Megaport,2018,Sgipos,OF,1,5,"23 Further, I am also of the view that the Opponent’s Earlier Meg@POP Mark sits in the middle of the technical distinctiveness spectrum.",3_3_6_3_10_0,"74 I have concluded that the Opponent’s Earlier Meg@POP Mark in comparison to the Application Markis visually and conceptually more dissimilar than similar while there is some aural similarity. Overall, I am of the view that the marks are more dissimilar than similar.","40 In light of all of the above, the Opponent’s Earlier Meg@POP Mark is clearly visually different from the Application Mark. The immediate and direct visual impact foisted by the Opponent’s Earlier Meg@POP Mark on the eye is in contrast to the Application Mark, which is a plain word mark sans any form of ornamentation.

41 Having regard to the above, I am of the view that the marks are visually more dissimilar than similar.
","56 In light of the above, the marks are aurally more similar than dissimilar.","72 Having regard to all the different connotations which may be conjured up by the marks, I am of the view that the marks are conceptually more dissimilar than similar. It is to be recalled that, the conclusion which is required to be drawn at the end of the day is whether the marks are more dissimilar than similar.[note: 32]","77 The Court of Appeal in Staywell provided at [40] “that registration in the same specification within a class establishes a prima facie case for identity”. The identical service is highlighted above (italicised and in bold), namely, “telecommunication services”. As this element has been satisfied, there is no need to consider T0312221G (registered for Class 42).","99 Therefore, while I agree with the Opponent that it is not sufficient to simply argue on the basis that the Opponent’s clients (as reflected by the Opponent’s evidence) were / are corporations seeking to purchase expensive and technical products thus diminishing the likelihood of confusion, having regard to the nature of “telecommunication services”, there is nonetheless no likelihood of confusion even though the potential consumer includes the “man on the street”."
11,Monster v NBA,2018,Sgipos,OF,3,6,"31 On the other hand, I am aware that the Claw Device Mark’s resemblance to the slashing or ripping effect of an animal’s claw may have some connotative link to the qualities that other traders in the energy drink business, or any other business, may wish to evoke as part of their brand image – strength, vigour and forcefulness. Nevertheless, on balance, I take the view that the Opponent’s Claw Device Mark has an above-average degree of inherent distinctiveness. I am prepared to accept the above-average degree of inherent distinctiveness of the Opponent’s Claw Device Mark means that this mark enjoys a wider-than-usual scope of protection, in that more non-identical competing marks can be regarded as “similar” to this mark compared to other registered trade marks that only possess an ordinary level of inherent distinctiveness. However, I would not go so far as to say that the Opponent’s Claw Device Mark possesses such a great level of technical distinctiveness that there is a “high threshold” – in terms of the differences between it and other later competing marks – before the Application Mark will be considered dissimilar to it.",3_3_0_3_X_X,"61 While accepting the Opponent’s submission that its Claw Device Mark is the distinctive and dominant component of its Composite Mark, but rejecting its submission that the graphic device element in the Application Mark should be regarded as the dominant component of the Applicant’s Mark, I have compared the Opponent’s Claw Device Mark against the whole Application Mark to determine if they are similar for the purposes of Section 8(2)(b) of the Act. Since I have found that the marks are visually and conceptually dissimilar, and there is no evidence to indicate that these marks are aurally similar, it follows that the Application Mark is not similar to the Opponent’s earlier registered trade marks.","55 While the average consumer with imperfect recollection may not scrutinise all the individual details of the Application Mark, there are enough obvious visual differences between it and the Opponent’s Claw Device Mark to distinguish them from each other. In my judgment, the Application Mark and the Opponent’s Marksare visually dissimilar.","56 Whether there is any aural similarity between the Application Mark and the Opponent’s Marks requires a comparison to be made between the syntax and syllables of the textual elements of each mark. As the Opponent’s Claw Device Mark has no textual elements, there are no aural elements to be compared against the words found in the Application Mark, a composite mark which incorporates “TORONTO RAPTORS”. As far as the Opponent’s Composite Mark is concerned, the absence of any commonality between its word component (“MONSTER ENERGY”), and the word component of the Application Mark (“TORONTO RAPTORS”)means that there is no aural similarity between these marks. In its written submissions, the Opponent did not submit that the Application Mark and the Opponent’s Earlier Marks are aurally similar (OWS at [30]). It follows that the Opponent has not established any aural similarity between the Application Mark and the Opponent’s Marks.","60 Viewed holistically, the Opponent’s Claw Device Mark and Composite Mark convey the general idea of an unidentified feral creature whose three-pronged claw has produced a jagged scar, marking its territory with a dreadful demonstration of its power. It conjures up connotations of the supernatural, conveying menacing undertones typically associated with the horror genre. In contrast, the depiction of the claw in the Application Mark is likely to convey more specific, and closely inter-related, ideas to the average consumer, who is likely to understand the wording “TORONTO RAPTORS” to be the name of a sports team. The average consumer looking at the Application Mark is likely to think of a velociraptor’s claw gripping a basketball, the predatory vigour of the team players and perhaps the occasionally vicious nature of the competition between rival teams. The concept of aggression evoked by the Application Mark is inextricably tied to a particular sporting context. In short, the primary concept underlying the Opponent’s Marks is the idea of a mysterious and menacing creature, while the primary concept underlying the Application Mark is the athletic prowess of a specific basketball team. As such, I would conclude that these marks are conceptually dissimilar.","63 My conclusion on the absence of similarity between the competing marks means that it is unnecessary for me to proceed with Step 2 or Step 3 of the analytical framework for Section 8(2)(b). Nevertheless, in relation to Step 2, I would have found that the respective goods and services to which the competing markswere applied were indeed identical in some cases, and similar in other cases. The clearest examples would have been items like sunglasses (Class 9), printed matter and publications (Class 16), and clothing (Class 25). In relation to Step 3, I would have hesitated to find a likelihood of consumer confusion because, as I have explained earlier, average consumers in Singapore would have some general knowledge that would enable them to understand that the Application Mark relates to a basketball team, or some kind of sports team, even if they were unfamiliar with TORONTO RAPTORS as a specific NBA team. Bearing in mind that the likelihood of confusion inquiry in trade mark opposition proceedings must consider all notional fair uses of the Application Mark, the specifications of the trade mark application should be the starting point to determine the kinds of goods or services to which the Application Mark is potentially going to be applied; this would, in turn, enable us to identify the “likely characteristics of the relevant customers and whether they would or would not tend to apply care or have specialist knowledge in making the purchase” (Staywell at [96(b)]). The underlined parts of the Application Mark’s specifications indicate a significant nexus to basketball-related products, services and merchandising. In my view, the “average consumer” in this case should be someone with at least some awareness of, or familiarity with, the sport. This “average consumer” is unlikely to be confused into thinking that goods or services bearing the Application Mark are supplied by the Opponent. Taken together with the various distinguishing features observable between the competing marks, the likelihood of average consumers confusing the Application Mark with the Opponent’s earlier trade marks, or assuming an economic linkage between the proprietors of these marks is, in my view, very low.","63 My conclusion on the absence of similarity between the competing marks means that it is unnecessary for me to proceed with Step 2 or Step 3 of the analytical framework for Section 8(2)(b). Nevertheless, in relation to Step 2, I would have found that the respective goods and services to which the competing markswere applied were indeed identical in some cases, and similar in other cases. The clearest examples would have been items like sunglasses (Class 9), printed matter and publications (Class 16), and clothing (Class 25). In relation to Step 3, I would have hesitated to find a likelihood of consumer confusion because, as I have explained earlier, average consumers in Singapore would have some general knowledge that would enable them to understand that the Application Mark relates to a basketball team, or some kind of sports team, even if they were unfamiliar with TORONTO RAPTORS as a specific NBA team. Bearing in mind that the likelihood of confusion inquiry in trade mark opposition proceedings must consider all notional fair uses of the Application Mark, the specifications of the trade mark application should be the starting point to determine the kinds of goods or services to which the Application Mark is potentially going to be applied; this would, in turn, enable us to identify the “likely characteristics of the relevant customers and whether they would or would not tend to apply care or have specialist knowledge in making the purchase” (Staywell at [96(b)]). The underlined parts of the Application Mark’s specifications indicate a significant nexus to basketball-related products, services and merchandising. In my view, the “average consumer” in this case should be someone with at least some awareness of, or familiarity with, the sport. This “average consumer” is unlikely to be confused into thinking that goods or services bearing the Application Mark are supplied by the Opponent. Taken together with the various distinguishing features observable between the competing marks, the likelihood of average consumers confusing the Application Mark with the Opponent’s earlier trade marks, or assuming an economic linkage between the proprietors of these marks is, in my view, very low."
12,Apple v Swatch,2018,Sgipos,OF,1,5,"29   I observe that the “THINK DIFFERENT” Mark comprises two English words in plain font with no significant design feature that catches the eye. Accordingly, I am persuaded that, visually, the Opponent’s Mark is of a normal level of technical distinctiveness. It therefore enjoys (only) a normal threshold before a competing mark, such as the Application Mark, would be considered visually dissimilar to it.

30 I also consider “distinctiveness” in the sense of whether the respective marks contain distinctive and dominant components, and if so, what these may be. Apprehending the “THINK DIFFERENT” Mark as an average consumer, I do not think there is a distinctive and dominant component as such. Rather, it is the mark as a whole, being the combination of two words, “THINK” and “DIFFERENT”, that makes an impact. Likewise for the “Tick different” Mark, it is distinctive as a whole. This finding applies to the three-fold assessment of marks-similarity: visually, aurally and conceptually.",3_3_4_2_X_3,"55 The conceptual dissimilarity of the marks is the starkest, and bears heavily on the impression of the average consumer. With this, accompanied by visual and aural dissimilarities to a lesser extent, I am persuaded that the average consumer would conclude that the marks are, overall, more dissimilar than similar.","33 As regards the Opponent’s argument that the difference between “Tick” and “THINK” lies only in the replacement of the letters “H” and “N” in the Opponent’s Mark, with the letter “c” in the Application Mark, I am not persuaded that the average consumer in Singapore would visually analyse the marks in this cold, clinical, bean-counting manner. This would be contrary to the principle summarised at [20(iv)] above. Rather, he or she would see “Tick” and “THINK” as whole words that first appear in their line of vision, and that visually signal the difference between the marks. Consumers who recall the strong visual impact of the upper case used in the Opponent’s Mark as opposed to the mostly lower case letters in the Application Mark would perceive the difference more acutely, while those who do not will still likely see the marks as different overall. However the consumer regards the marks visually in his imperfect recollection, I think the Application Markhas “distinguish(ed) itself sufficiently and substantially” from the Opponent’s Mark based on a normal threshold.

34   Thus, I find that the Application Mark and the Opponent’s Mark are rather more dissimilar than similar visually.

","44 Overall, I am persuaded that the “Tick different” Mark and the “THINK DIFFERENT” Mark are more aurally dissimilar than they are similar, even given that the Opponent’s Mark possesses a higher than normal level of technical distinctiveness. However, this dissimilarity is to a lesser extent than the visual dissimilarity (and conceptual dissimilarity, see below).","52 On the balance, I find that the marks are conceptually more dissimilar than similar, and to a higher degree than the visual and aural assessment.","71 This area is indeed a fertile field for ploughing and, perhaps, sectional harvest. However, this is not an issue that needs a decision today as marks-similarity was not established under Section 8(2)(b). Itherefore leave it to parties in future to present their best arguments to support the Court or this Tribunal in adjudication.","74 As there is no marks-similarity, an essential element of Section 8(2)(b) has not been made out. If I am wrong on this, I have also expressed my reservations in relation to goods-similarity between the Opponent’s Specification and the Applicant’s Class 14 Specification; and also my view that there is, in any case, no reasonable likelihood of confusion."
14,Starwood v Staywell,2018,Sgipos,OS,3,7,"46   In light of the above, Applicants’ Earlier St Regis Mark “is distinctive enough that a higher threshold for dissimilarity would apply” (Staywell High Court at [20]), having regard to the main distinctive component REGIS (subject to the issue of conceptual similarity, below).

",6_6_6_7_10_7,"103 I have concluded that the Applicants’ Earlier St Regis Mark in comparison to the Subject Mark is visually similar to some degree and aurally and conceptually similar to a fair extent, such that overall, the marks are more similar than dissimilar[note: 74].","87 In coming to this conclusion, I am mindful that the assessment of marks is based on the overall impression given by the marks. However, bearing in mind the distinctive and dominant component, I am of the view that visually, the marks are more similar than dissimilar to some degree.","96 In light of the above, applying the Dominant Component Approach, the marks are aurally more similar than dissimilar to a fair extent.","101 Taking all of the above into consideration, I am of the view that the marks are conceptually more similar than dissimilar to a fair extent.",105 The identical services are set out in italics above. Clearly this element has been satisfied.,"113 In light of the above, the Proprietor’s arguments do not stand[note: 81]. In conclusion, on balance, taking into account the permissible extraneous factors, I find that there is a reasonable likelihood of confusion."
15,Monster v Tencent,2018,Sgipos,OF,3,5,"41 I am not persuaded by the submission that “MONSTER ENERGY” possesses a high or greater level of technical distinctiveness. In my judgment, “MONSTER ENERGY” possesses inherent distinctiveness that is normal, or ordinary, in nature. As it does not possess a high (or greater) level of technical distinctiveness, it does not enjoy a high threshold before a competing sign (here: the Application Mark) will be considered dissimilar to it.",3_3_3_3_0_X,"70 The Opponent’s case on marks-similarity hinged on the contention that “MONSTER” is the distinctive and dominant portion of both marks. I have rejected this submission for the reasons set out above. Having assessed the marks visually, aurally, and conceptually, I find that the marks are more dissimilar than similar overall.","54 Having compared the marks visually, I consider that they are visually different. To summarise my reasons:","60   The Opponent did not have any submissions on the Syllables Approach. All I need to say about it is that “MONSTER ENERGY” is made up of 5 syllables, like so: “MON-STER EN-ER-GY”. As for “MONSTER CASTLE”, it is made up of 4 syllables, as follows: “MON-STER CAS-TLE”. The marks cannot be said to have more syllables in common than not.


61 For the above reasons, my view is that the marks are aurally more dissimilar than similar.","69 While I accept that the competing marks are conceptually different overall, I would not go so far as to say—which the Applicant invited me to—that the stylisation conveys the impression of cartoons, games and fairy tales. All that I will say about the stylisation is that it is consistent with, and does not detract from, the central concept.","73 In light of my finding that the competing marks are more dissimilar than similar, the opposition under Section 8(2)(b) TMA fails at this first step.

102 To conclude, I take the view that none of the “MONSTER ENERGY” (40201501193T) services in Class 41 are identical with or similar to the services for which registration is sought under the Application Mark in Class 42.","73 In light of my finding that the competing marks are more dissimilar than similar, the opposition under Section 8(2)(b) TMA fails at this first step."
